Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
java-native-accessjna_4.5.1,3,3,0,269,76,4478,86,0,76,euclidean
java-native-accessjna_4.5.2,3,3,0,270,76,4481,86,0,76,euclidean
java-native-accessjna_5.0.0,4,4,0,462,69,4621,35,0,69,cosine
java-native-accessjna_5.0.0,4,3,0,462,69,4621,35,0,76,cosine
java-native-accessjna_5.0.0,4,4,0,462,69,4621,35,0,69,cosine
java-native-accessjna_5.0.0,4,3,0,462,69,4621,35,0,76,cosine
java-native-accessjna_5.0.0,3,4,0,462,76,4621,85,0,69,cosine
java-native-accessjna_5.0.0,3,3,0,462,76,4621,85,0,76,cosine
java-native-accessjna_5.0.0,3,4,0,462,76,4621,85,0,69,cosine
java-native-accessjna_5.0.0,3,3,0,462,76,4621,85,0,76,cosine
java-native-accessjna_5.0.0,4,4,0,276,69,4820,35,0,69,cosine
java-native-accessjna_5.0.0,4,3,0,276,69,4820,35,0,76,cosine
java-native-accessjna_5.0.0,4,4,0,276,69,4820,35,0,69,cosine
java-native-accessjna_5.0.0,4,3,0,276,69,4820,35,0,76,cosine
java-native-accessjna_5.0.0,3,4,0,276,76,4820,85,0,69,cosine
java-native-accessjna_5.0.0,3,3,0,276,76,4820,85,0,76,cosine
java-native-accessjna_5.0.0,3,4,0,276,76,4820,85,0,69,cosine
java-native-accessjna_5.0.0,3,3,0,276,76,4820,85,0,76,cosine
java-native-accessjna_5.1.0,4,4,0,460,68,4723,35,0,68,l2
java-native-accessjna_5.1.0,4,3,0,460,68,4723,35,0,76,l2
java-native-accessjna_5.1.0,4,4,0,460,68,4723,35,0,68,l2
java-native-accessjna_5.1.0,4,3,0,460,68,4723,35,0,76,l2
java-native-accessjna_5.1.0,3,4,0,460,76,4723,85,0,68,l2
java-native-accessjna_5.1.0,3,3,0,460,76,4723,85,0,76,l2
java-native-accessjna_5.1.0,3,4,0,460,76,4723,85,0,68,l2
java-native-accessjna_5.1.0,3,3,0,460,76,4723,85,0,76,l2
java-native-accessjna_5.1.0,4,4,0,276,68,4852,35,0,68,l2
java-native-accessjna_5.1.0,4,3,0,276,68,4852,35,0,76,l2
java-native-accessjna_5.1.0,4,4,0,276,68,4852,35,0,68,l2
java-native-accessjna_5.1.0,4,3,0,276,68,4852,35,0,76,l2
java-native-accessjna_5.1.0,3,4,0,276,76,4852,85,0,68,l2
java-native-accessjna_5.1.0,3,3,0,276,76,4852,85,0,76,l2
java-native-accessjna_5.1.0,3,4,0,276,76,4852,85,0,68,l2
java-native-accessjna_5.1.0,3,3,0,276,76,4852,85,0,76,l2
java-native-accessjna_5.2.0,4,4,0,460,68,4727,35,0,68,cosine
java-native-accessjna_5.2.0,4,3,0,460,68,4727,35,0,76,cosine
java-native-accessjna_5.2.0,4,4,0,460,68,4727,35,0,68,cosine
java-native-accessjna_5.2.0,4,3,0,460,68,4727,35,0,76,cosine
java-native-accessjna_5.2.0,3,4,0,460,76,4727,85,0,68,cosine
